xpath,frequency,uniques
/dictionary/body/p/cs/cd/as/spn/,16,10
/dictionary/body/p/def/as/hascons/,2,2
/dictionary/body/p/note/varn/,15,13
/dictionary/body/p/note/hw/,4,4
/dictionary/body/p/cs/plu/pr/,3,3
/dictionary/body/p/note/subtypes/mcol/col/b/,3,3
/dictionary/body/p/cs/col/b/plain/,16,11
/dictionary/body/p/def/hw/,40,40
/dictionary/body/p/def/person/,706,627
/dictionary/body/p/note/hascons/,7,7
/dictionary/body/p/def/as/ex/subs/,6,6
/dictionary/body/p/pr/it/,1382,599
/dictionary/body/p/def/memberof/,1,1
/dictionary/body/p/note/ex/,1258,845
/dictionary/body/p/note/ptcl/,8,7
/dictionary/body/p/cs/cd/ets/,14,13
/dictionary/body/p/cs/cd/a/,8,8
/dictionary/body/p/q/org/,10,10
/dictionary/body/p/pr/xex/,28,19
/dictionary/body/p/note/ant/,6,6
/dictionary/front/div0/au.entry/au/,2395,2390
/dictionary/body/p/def/source/,2,2
/dictionary/body/p/mark/er/,6,6
/dictionary/body/p/vmorph/usage/xex/,4,4
/dictionary/body/p/def/as/grk/,6,6
/dictionary/body/p/cs/mcol/cd/gen/,6,6
/dictionary/body/p/def/geog/,56,51
/dictionary/body/p/subtypes/cd/spn/,87,83
/dictionary/body/p/pr/mark/,11,10
/dictionary/body/p/def2/def/altname/,24,24
/dictionary/body/p/usage/ex/,74,61
/dictionary/body/p/mhw/i/,19,3
/dictionary/body/p/def/simto/persfn/,1,1
/dictionary/body/p/cs/cd/part/,8,8
/dictionary/body/p/rj/qau/,38929,5423
/dictionary/body/p/def/altname/hw/,2,2
/dictionary/body/p/cs/mark/,1639,169
/dictionary/body/p/nmorph/plu/,2,1
/dictionary/body/p/note/H1/,1,1
/dictionary/body/p/abbr/,2,2
/dictionary/body/p/note/cd/cref/,2,2
/dictionary/body/p/cs/mcol/col/b/,3851,3762
/dictionary/body/p/bio/,5,4
/dictionary/body/p/cs/subclass/,2,2
/dictionary/body/p/ety/spn/ets/,1,1
/dictionary/body/p/cs/note/table/row/item/,7,7
/dictionary/body/p/wordforms/,2841,13
/dictionary/body/p/def2/def/pos/,5,3
/dictionary/body/p/subtypes/cd/it/,2,2
/dictionary/body/p/note/a/@href,14,13
/dictionary/body/p/def/colp/,2,2
/dictionary/body/p/cs/note/a/,2,2
/dictionary/body/p/def2/plu/plw/,4,3
/dictionary/body/p/altname/,29,21
/dictionary/body/p/def/members/,8,8
/dictionary/body/p/vmorph/pr/i/,16,5
/dictionary/body/p/cs/cd/as/fract/,1,1
/dictionary/body/p/cs/cd/as/ex/plain/,2,2
/dictionary/body/p/q/city/,2,2
/dictionary/body/p/pre/table/br/,98,86
/dictionary/body/p/sing/pr/i/,2,2
/dictionary/body/p/cs/plu/plw/,10,9
/dictionary/body/p/note/pre/tt/b/,1,1
/dictionary/body/p/altsp/as/ex/,6,5
/dictionary/body/p/def/as/ord/,2,2
/dictionary/body/p/cs/cd/note/germantype/,1,1
